IPA Segment,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,tense,long
k͡p,-,-,+,-,-,-,-,0,-,-,-,0,-,0,+,+,-,0,-,0,-
ɡ͡b,-,-,+,-,-,-,-,0,+,-,-,0,-,0,+,+,-,0,-,0,-
c,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,-,-,0,-
ɡ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,+,-,0,-
k,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,+,-,0,-
q,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,-,-,+,-,0,-
ɖ,-,-,+,-,-,-,-,0,+,-,-,-,+,-,-,-,-,-,-,0,-
ɟ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,0,-
ɠ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,+,-,0,-
ɢ,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,-,-,+,-,0,-
ʄ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,-,-,0,-
ʈ,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,-
ʛ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,-,-,+,-,0,-
b,-,-,+,-,-,-,-,0,+,-,-,+,-,0,+,-,-,-,-,0,-
b͡d,-,-,+,-,-,-,-,0,+,-,-,+,+,-,+,-,-,-,-,0,-
d,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,0,-
d̪,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,0,-
p,-,-,+,-,-,-,-,0,-,-,-,+,-,0,+,-,-,-,-,0,-
p͡t,-,-,+,-,-,-,-,0,-,-,-,+,+,-,+,-,-,-,-,0,-
t,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0,-
t̪,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,0,-
ɓ,-,-,+,-,-,-,-,0,+,-,+,+,-,0,+,-,-,-,-,0,-
ɗ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,-,0,-
b͡β,-,-,+,-,+,-,-,0,+,-,-,0,-,0,+,0,0,0,-,0,-
k͡x,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,+,-,0,-,0,-
p͡ɸ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,+,0,0,0,-,0,-
q͡χ,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,-,-,+,-,0,-
ɡ͡ɣ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,+,-,0,-,0,-
ɢ͡ʁ,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,-,-,+,-,0,-
c͡ç,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,0,-
d͡ʒ,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,0,-
t͡ʃ,-,-,+,-,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,0,-
ɖ͡ʐ,-,-,+,-,+,-,-,+,+,-,-,-,+,-,-,0,0,0,-,0,-
ɟ͡ʝ,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,+,-,-,-,0,-
ʈ͡ʂ,-,-,+,-,+,-,-,+,-,-,-,-,+,-,-,0,0,0,-,0,-
b͡v,-,-,+,-,+,-,-,0,+,-,-,+,-,0,+,-,-,-,-,0,-
d̪͡z̪,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,0,0,0,-,0,-
d̪͡ð,-,-,+,-,+,-,-,-,+,-,-,+,+,+,-,0,0,0,-,0,-
d̪͡ɮ̪,-,-,+,-,+,+,-,-,+,-,-,+,+,+,-,0,0,0,-,0,-
d͡z,-,-,+,-,+,-,-,+,+,-,-,+,+,-,-,-,-,-,-,0,-
d͡ɮ,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,0,0,0,-,0,-
d͡ʑ,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,+,-,-,-,0,-
p͡f,-,-,+,-,+,-,-,0,-,-,-,+,-,0,+,-,-,-,-,0,-
t̪͡s̪,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,0,0,0,-,0,-
t̪͡ɬ̪,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,0,0,0,-,0,-
t̪͡θ,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,0,0,0,-,0,-
t͡s,-,-,+,-,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,0,-
t͡ɕ,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,-,-,-,0,-
t͡ɬ,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,-,0,-
x,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,+,-,0,-
ç,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,-,-,0,-
ħ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,-,+,+,-,0,-
ɣ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,+,-,0,-
ʁ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,-,-,+,-,0,-
ʂ,-,-,+,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,0,-
ʃ,-,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,0,-
ʐ,-,-,+,+,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,0,-
ʒ,-,-,+,+,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,0,-
ʕ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,-,+,+,-,0,-
ʝ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,0,-
χ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,-,-,+,-,0,-
f,-,-,+,+,-,-,-,0,-,-,-,+,-,0,+,-,-,-,-,0,-
